x,y
32.83,33.19
58.98,78.7
36.66,1.98
17.69,38.79
19.65,16.67
59.62,16.4
22.21,21.02
81.76,87.29
54.35,25.98
16.37,14.98
78.5,78.85
75.66,67.35
80.75,73.8
21.47,27.67
22.72,31.75
54.2,8.11
49.31,20.14
50.86,20.47
78.3,83.09
87.44,74.49
78.97,83.18
21.96,12.9
26.73,23.91
29.14,17.34
46.78,8.31
52.64,7.61
47.12,15.57
43.95,24.38
19.29,30.27
17.9,30.08
64.27,84.03
74.04,91.44
47.04,1.0
19.33,30.56
15.41,29.22
23.19,19.66
25.48,2.27
88.05,75.07
49.64,7.55
27.96,29.47
21.91,30.42
64.09,80.12
75.45,76.99
16.31,17.97
20.34,25.0
49.4,2.32
47.29,12.69
55.08,13.04
59.51,23.12
51.02,10.76
75.16,91.82
53.49,7.3
15.7,12.6
69.32,8.87
16.28,20.92
54.03,16.72
8.54,37.2
30.0,16.81
69.17,68.58
22.86,26.8
69.27,15.58
36.81,14.44
77.95,76.99
41.74,9.51
76.24,82.68
23.63,28.04
56.84,5.97
53.61,14.54
22.45,33.8
13.87,32.97
42.91,4.85
64.47,78.6
52.12,9.95
74.45,74.02
24.41,26.33
24.23,27.59
50.79,6.66
79.56,78.26
68.93,88.99
69.5,10.95
40.68,22.28
44.55,17.85
43.99,23.08
22.79,20.51
63.5,23.57
63.18,16.73
81.09,75.99
41.64,9.16
60.15,18.97
75.1,73.19
42.32,21.95
20.31,31.13
49.55,15.81
16.6,35.31
51.97,5.73
42.98,25.52
48.75,21.75
15.28,18.87
24.09,28.28
39.53,5.36
12.87,34.57
76.97,71.78
79.69,74.57
57.23,19.79
77.28,81.38
64.4,21.2
58.81,11.92
9.6,22.97
26.71,23.54
22.63,21.16
79.49,75.41
53.48,13.18
18.19,27.87
75.2,80.67
55.21,16.62
52.51,13.87
27.86,30.96
46.73,13.56
17.33,35.05
67.02,83.85
83.15,81.97
8.51,37.31
1.0,21.89
48.81,26.83
85.86,76.31
65.63,84.42
48.96,12.15
40.44,18.75
14.59,22.15
66.75,76.63
28.95,30.68
80.91,85.79
21.36,28.75
62.41,11.14
74.68,84.77
50.89,24.92
66.77,85.59
40.65,19.43
71.93,78.04
11.42,18.38
2.94,23.46
38.63,30.61
62.42,1.0
46.15,24.28
73.86,73.47
79.54,78.87
66.4,86.72
18.27,25.15
20.16,17.51
16.51,25.4
49.37,13.27
85.52,85.2
30.43,21.04
51.13,19.54
2.96,13.03
69.87,66.26
26.91,31.53
30.31,13.36
87.0,88.2
17.88,24.29
27.74,29.91
27.81,19.25
63.59,83.9
13.76,21.02
65.52,95.51
71.5,25.38
46.44,1.0
56.88,23.32
55.67,14.48
46.79,10.3
28.04,41.98
74.54,80.17
74.55,69.38
56.56,25.72
39.8,1.0
54.34,16.88
49.97,20.01
14.61,34.77
70.75,88.36
58.01,2.62
51.69,16.31
52.75,11.65
52.76,26.86
66.7,93.62
54.77,1.0
41.7,4.68
75.18,78.95
42.06,15.45
70.28,75.73
17.04,10.81
63.33,17.24
81.12,88.3
85.68,82.07
13.42,38.2
41.31,1.0
12.23,17.87
53.87,3.31
64.14,71.89
37.36,16.99
54.94,78.8
49.7,13.28
58.59,16.82
22.74,23.51
40.76,26.07
40.83,21.67
25.89,26.49
76.41,93.41
77.15,87.39
53.34,27.06
44.32,23.17
77.28,72.83
24.0,44.55
62.87,26.15
80.38,69.63
80.07,68.63
15.69,37.96
78.78,74.88
66.66,85.38
23.16,24.61
57.64,3.86
52.74,1.0
79.2,75.36
63.76,77.49
71.0,91.11
80.77,83.76
61.19,19.52
57.92,22.08
45.12,8.24
72.94,76.91
53.42,19.56
38.57,21.6
72.52,80.27
65.5,20.09
77.06,87.89
50.02,21.01
74.88,81.22
49.57,9.52
26.99,21.39
10.6,12.29
38.33,17.22
15.11,28.13
84.39,72.37
23.14,27.66
79.04,71.81
26.48,26.92
51.37,69.45
52.1,13.91
37.01,12.49
40.32,1.0
51.78,4.71
57.41,13.24
12.08,23.34
77.95,76.9
28.16,18.0
46.37,15.69
77.14,78.04
51.06,9.39
74.21,81.3
86.86,66.24
53.67,26.61
12.59,18.15
77.44,85.42
74.0,5.12
62.66,79.16
35.36,1.0
49.84,23.45
32.17,29.0
28.03,28.2
39.44,6.99
84.39,82.97
61.85,23.88
72.43,63.81
38.21,16.04
72.07,81.79
65.56,18.74
36.26,1.0
21.26,20.1
57.72,21.71
50.77,11.67
82.84,81.4
72.33,72.14
68.68,83.51
18.25,33.22
19.54,24.33
56.99,4.63
55.56,20.85
13.08,26.43
6.01,18.64
27.19,29.23
50.86,1.6
21.14,26.07
64.39,67.26
49.21,23.88
68.97,74.91
18.95,18.89
74.77,66.51
47.51,24.35
65.79,71.52
76.64,71.36
76.03,77.1
24.61,35.44
21.8,34.22
75.21,79.35
69.4,69.18
12.53,27.0
54.75,5.34
73.62,71.91
49.03,15.87
53.6,24.61
9.32,18.69
49.59,9.51
10.7,25.81
15.35,26.92
20.79,17.11
82.42,78.17
81.88,85.47
17.47,20.88
44.83,7.34
13.18,15.87
46.22,19.92
24.73,32.85
49.67,23.0
73.0,75.96
49.16,18.45
49.87,21.35
76.92,1.0
24.89,30.83
45.39,12.29
36.13,25.2
53.05,8.85
78.49,78.4
74.29,73.99
52.47,6.94
44.58,16.29
44.46,21.88
15.78,22.03
16.81,20.02
12.63,34.94
82.15,93.72
46.67,13.19
80.31,80.43
56.01,1.6
75.38,78.98
61.62,12.26
51.31,11.54
27.97,17.95
67.76,82.6
75.39,75.62
10.49,30.13
43.93,3.47
36.94,16.74
80.64,84.86
21.44,20.67
15.89,27.22
15.34,21.25
42.76,16.71
73.36,74.72
91.01,77.3
71.73,85.88
75.03,80.38
16.45,39.46
61.78,73.63
50.4,13.66
83.2,67.9
78.0,65.7
55.94,18.19
12.15,37.61
16.59,28.08
7.68,17.84
69.6,81.57
66.65,68.25
12.05,12.74
13.81,28.24
50.59,8.55
55.34,25.86
73.36,79.74
60.19,14.54
66.25,64.74
55.53,11.96
89.14,93.38
51.24,24.14
18.4,25.9
76.06,76.93
46.56,20.03
75.95,97.11
37.18,14.85
16.2,37.51
58.69,13.28
54.67,11.19
84.59,76.44
37.93,21.03
74.66,83.36
19.82,29.24
76.94,74.89
72.66,87.79
46.66,7.42
62.18,21.94
16.33,16.4
29.54,46.27
11.41,19.17
73.78,89.6
26.64,10.97
5.93,30.01
38.84,15.27
4.82,15.69
72.01,85.5
47.43,21.4
67.98,74.27
87.62,82.87
76.43,71.32
30.88,6.47
23.67,23.17
70.41,77.51
24.59,10.73
71.76,88.45
51.98,13.59
20.31,15.99
72.09,80.42
22.86,24.51
75.61,76.8
5.31,35.24
26.16,19.78
90.11,67.79
25.79,38.24
75.4,97.31
10.65,27.91
63.45,14.65
17.66,14.25
1.99,31.17
22.19,25.52
47.42,13.56
71.94,84.24
10.92,23.65
